"EMPLOYER_STATE_PROVINCE","EMPLOYER_CITY","EMPLOYER_POSTAL_CODE","count"
"MASSACHUSETTS","NORWOOD","02062",10
"MICHIGAN","ANN ARBOR","48105",10
"MICHIGAN","NOVI","48375",10
"MICHIGAN","SOUTHFIELD","48075",10
"MISSOURI","OLIVETTE","63132",10
"NEW HAMPSHIRE","NASHUA","03062",10
"NEW JERSEY","FAIRFIELD","07004",10
"NEW JERSEY","KINGSTON","08528",10
"NEW JERSEY","MONMOUTH JUNCTION","08852",10
"NEW JERSEY","NEW BRUNSWICK","08903",10
"NEW JERSEY","RIDGEFIELD PARK","07660",10
"NEW JERSEY","ROCHELLE PARK","07662",10
"NEW JERSEY","WEST WINDSOR","08550",10
"NEW YORK","MELVILLE","11747",10
"NEW YORK","NEW YORK","10029",10
"NEW YORK NEW YORK","NEW YORK","10007",10
"NORTH CAROLINA","CHARLOTTE","28217",10
"NORTH CAROLINA","CHARLOTTE","28262",10
"OREGON","PORTLAND","97204",10
"SOUTH CAROLINA","MT. PLEASANT","29464",10
"TEXAS","AUSTIN","78758",10
"TEXAS","CARROLLTON","75007",10
"TEXAS","HOUSTON","77067",10
"TEXAS","HOUSTON","77077",10
"TEXAS","HOUSTON","77082",10
"TEXAS","STAFFORD","77477",10
"VIRGINIA","ARLINGTON","22203",10
"VIRGINIA","STERLING","20164",10
"VIRGINIA","STERLING","20165",10
"WASHINGTON","BELLEVUE","98005",10
"WASHINGTON","SEATTLE","98195",10
"ALABAMA","BIRMINGHAM","35203",9
"ARIZONA","PHOENIX","85027",9
"ARIZONA","PHOENIX","85034",9
"ARIZONA","SCOTTSDALE","85254",9
"ARIZONA","TEMPE","85281",9
"CALIFORNIA","ANAHEIM","92801",9
"CALIFORNIA","ANAHEIM","92805",9
"CALIFORNIA","GLENDALE","91203",9
"CALIFORNIA","LOS ANGELES","90005",9
"CALIFORNIA","SAN DIEGO","92127",9
"CALIFORNIA","SANTA ROSA","95403",9
"CALIFORNIA","TORRANCE","90505",9
"CALIFORNIA","VERNON","90058",9
"COLORADO","CENTENNIAL","80112",9
"COLORADO","GOLDEN","80401",9
"CONNECTICUT","BLOOMFIELD","06002",9
"CONNECTICUT","NEW BRITAIN","06053",9
"CONNECTICUT","OLD GREENWICH","06870",9
"DELAWARE","NEWARK","19702",9
"DISTRICT OF COLUMBIA","WASHINGTON","20001",9
"DISTRICT OF COLUMBIA","WASHINGTON","20003",9
"FLORIDA","VALRICO","33596",9
"GEORGIA","KENNESAW","30144",9
"ILLINOIS","CHICAGO","60607",9
"ILLINOIS","LAKE ZURICH","60047",9
"IOWA","CEDAR RAPIDS","52499",9
"MARYLAND","NEW CARROLLTON","20784",9
"MASSACHUSETTS","BOSTON","02215",9
"MASSACHUSETTS","CAMBRIDGE","02138",9
"MASSACHUSETTS","WATERTOWN","02472",9
"MICHIGAN","DETROIT","48202",9
"MICHIGAN","PORTAGE","49002",9
"MICHIGAN","SOUTHFIELD","48076",9
"MICHIGAN","WIXOM","48393",9
"MINNESOTA","MINNEAPOLIS","55432",9
"MISSOURI","CHESTERFIELD","63005",9
"NEVADA","LAS VEGAS","89131",9
"NEW JERSEY","BASKING RIDGE","07920",9
"NEW JERSEY","CHERRY HILL","08002",9
"NEW JERSEY","HACKENSACK","07601",9
"NEW JERSEY","METUCHEN","08840",9
"NEW JERSEY","MONTVALE","07645",9
"NEW JERSEY","NUTLEY","07110",9
"NEW JERSEY","PRINCETON","08542",9
"NEW YORK","FLUSHING","11358",9
"NEW YORK","NEW YORK","10002",9
"NEW YORK","NEW YORK","10172",9
"NEW YORK","WESTBURY","11590",9
"NORTH CAROLINA","CARY","27511",9
"OHIO","PAINESVILLE","44077",9
"OHIO","PERRY","44081",9
"OKLAHOMA","OKLAHOMA CITY","73111",9
"OREGON","CENTRAL POINT","97502",9
"PENNSYLVANIA","BERWYN","19312",9
"PENNSYLVANIA","PITTSBURGH","15213",9
"SOUTH CAROLINA","COLUMBIA","29208",9
"SOUTH CAROLINA","FORT MILL","29715",9
"TEXAS","DALLAS","75019",9
"TEXAS","HOUSTON","77084",9
"TEXAS","PLANO","75023",9
"UTAH","SALT LAKE CITY","84111",9
"VERMONT","SOUTH BURLINGTON","05403",9
"VIRGINIA","RICHMOND","23238",9
"WASHINGTON","PULLMAN","99163",9
"WISCONSIN","MADISON","53715",9
"ALABAMA","OPELIKA","36801",8
"ALABAMA","TUSCALOOSA","35401",8
"ALABAMA","TUSCALOOSA","35487",8
"ARIZONA","PHOENIX","85012",8
"CALIFORNIA","BELMONT","94002",8
"CALIFORNIA","BERKELEY","94704",8
"CALIFORNIA","FREMONT","94555",8
"CALIFORNIA","HAYWARD","94545",8
"CALIFORNIA","LIVERMORE","94551",8
"CALIFORNIA","LONG BEACH","90804",8
